order_month,revenue,orders,aov
2016-09-01,143.46,1,143.46
2016-10-01,46490.66,265,175.44
2016-12-01,19.62,1,19.62
2017-01-01,127482.37,750,169.98
2017-02-01,271239.32,1653,164.09
2017-03-01,414330.95,2546,162.74
2017-04-01,390812.4,2303,169.7
2017-05-01,566851.4,3546,159.86
2017-06-01,490050.37,3135,156.32
2017-07-01,566299.08,3872,146.25
2017-08-01,645832.36,4193,154.03
2017-09-01,701077.49,4150,168.93
2017-10-01,751117.01,4478,167.73
2017-11-01,1153364.2,7289,158.23
2017-12-01,843078.29,5513,152.93
2018-01-01,1077887.46,7069,152.48
2018-02-01,966168.41,6555,147.39
2018-03-01,1120598.24,7003,160.02
2018-04-01,1132878.93,6798,166.65
2018-05-01,1128774.52,6749,167.25
2018-06-01,1011978.29,6099,165.93
2018-07-01,1027807.28,6159,166.88
2018-08-01,985491.64,6351,155.17
