customer_unique_id,order_id,order_purchase_timestamp,order_revenue,customer_order_sequence,running_revenue
u001,o0182,2018-01-20T05:00:00,299.32,1,299.32
u001,o0197,2018-02-03T09:00:00,216.27,2,515.59
u001,o0194,2018-02-26T06:00:00,256.93,3,772.52
u001,o0227,2018-04-15T10:00:00,176.65,4,949.17
u002,o0088,2017-07-17T09:00:00,343.44,1,343.44
u002,o0212,2018-03-09T16:00:00,249.42,2,592.86
u002,o0234,2018-04-06T08:00:00,222.66,3,815.52
u002,o0258,2018-06-03T22:00:00,253.03,4,1068.55
u003,o0213,2018-03-03T17:00:00,263.19,1,263.19
u003,o0295,2018-08-07T18:00:00,310.25,2,573.44
u004,o0161,2017-12-05T01:00:00,249.62,1,249.62
u004,o0173,2017-12-22T15:00:00,226.48,2,476.1
u004,o0270,2018-07-13T13:00:00,340.72,3,816.82
u005,o0002,2017-01-03T02:00:00,221.48,1,221.48
u005,o0008,2017-01-13T12:00:00,301.6,2,523.08
u005,o0146,2017-11-23T06:00:00,473.73,3,996.81
u005,o0195,2018-02-12T13:00:00,342.28,4,1339.09
u005,o0288,2018-08-22T19:00:00,172.16,5,1511.25
u006,o0134,2017-10-16T11:00:00,237.21,1,237.21
u006,o0149,2017-11-26T11:00:00,352.44,2,589.65
u007,o0021,2017-02-23T17:00:00,402.09,1,402.09
u007,o0050,2017-04-11T12:00:00,269.69,2,671.78
u008,o0020,2017-02-15T23:00:00,208.61,1,208.61
u008,o0023,2017-02-21T23:00:00,63.05,2,271.66
u008,o0266,2018-07-15T16:00:00,170.82,3,442.48
u008,o0271,2018-07-18T18:00:00,318.38,4,760.86
u009,o0037,2017-03-24T10:00:00,254.94,1,254.94
u009,o0109,2017-08-05T02:00:00,147.09,2,402.03
u009,o0128,2017-09-13T03:00:00,267.51,3,669.54
u009,o0141,2017-10-06T15:00:00,225.63,4,895.17
u009,o0156,2017-11-12T12:00:00,167.28,5,1062.45
u010,o0169,2017-12-15T16:00:00,237.52,1,237.52
u010,o0226,2018-04-14T08:00:00,214.43,2,451.95
u011,o0129,2017-09-21T21:00:00,251.59,1,251.59
u011,o0222,2018-03-11T04:00:00,305.72,2,557.31
u012,o0120,2017-09-16T03:00:00,84.06,1,84.06
u012,o0256,2018-06-23T11:00:00,94.51,2,178.57
u012,o0278,2018-07-04T07:00:00,311.87,3,490.44
u012,o0268,2018-07-16T03:00:00,250.55,4,740.99
u013,o0062,2017-05-09T09:00:00,245.92,1,245.92
u013,o0107,2017-08-25T03:00:00,252.53,2,498.45
u013,o0284,2018-08-17T03:00:00,76.18,3,574.63
u014,o0004,2017-01-05T12:00:00,211.75,1,211.75
u014,o0259,2018-06-06T10:00:00,285.27,2,497.02
u015,o0001,2017-01-03T23:00:00,86.94,1,86.94
u015,o0035,2017-03-11T05:00:00,307.09,2,394.03
u015,o0264,2018-06-10T15:00:00,354.02,3,748.05
u016,o0110,2017-08-16T11:00:00,440.65,1,440.65
u016,o0155,2017-11-09T04:00:00,208.25,2,648.9
u017,o0015,2017-02-24T15:00:00,303.91,1,303.91
u017,o0063,2017-05-23T15:00:00,185.57,2,489.48
u017,o0093,2017-07-20T11:00:00,399.28,3,888.76
u017,o0106,2017-08-11T19:00:00,164.49,4,1053.25
u017,o0158,2017-11-16T16:00:00,195.57,5,1248.82
u017,o0223,2018-04-05T05:00:00,154.21,6,1403.03
u018,o0144,2017-10-04T11:00:00,390.96,1,390.96
u018,o0231,2018-04-23T09:00:00,169.88,2,560.84
u018,o0242,2018-05-13T03:00:00,253.91,3,814.75
u018,o0269,2018-07-25T00:00:00,378.59,4,1193.34
u019,o0009,2017-01-11T04:00:00,267.08,1,267.08
u019,o0083,2017-06-16T20:00:00,155.05,2,422.13
u019,o0094,2017-07-10T21:00:00,372.04,3,794.17
u019,o0113,2017-08-21T21:00:00,322.62,4,1116.79
u019,o0122,2017-09-11T06:00:00,85.67,5,1202.46
u019,o0139,2017-10-07T01:00:00,545.98,6,1748.44
u020,o0132,2017-10-05T09:00:00,307.64,1,307.64
u020,o0140,2017-10-20T23:00:00,107.0,2,414.64
u020,o0198,2018-02-11T06:00:00,63.63,3,478.27
u020,o0281,2018-08-06T05:00:00,221.97,4,700.24
u021,o0053,2017-04-12T03:00:00,373.94,1,373.94
u021,o0044,2017-04-26T15:00:00,139.7,2,513.64
u021,o0067,2017-05-10T05:00:00,184.9,3,698.54
u021,o0115,2017-08-22T01:00:00,177.51,4,876.05
