cohort_month,order_month,month_number,retained_customers,cohort_size,retention_pct
2016-09-01,2016-09-01,0,1,1,100.0
2016-10-01,2016-10-01,0,262,262,100.0
2016-10-01,2017-04-01,6,1,262,0.38
2016-10-01,2017-07-01,9,1,262,0.38
2016-10-01,2017-09-01,11,1,262,0.38
2016-10-01,2017-11-01,13,1,262,0.38
2016-10-01,2018-01-01,15,1,262,0.38
2016-10-01,2018-03-01,17,1,262,0.38
2016-10-01,2018-05-01,19,2,262,0.76
2016-10-01,2018-06-01,20,2,262,0.76
2016-12-01,2016-12-01,0,1,1,100.0
2016-12-01,2017-01-01,1,1,1,100.0
2017-01-01,2017-01-01,0,717,717,100.0
2017-01-01,2017-02-01,1,2,717,0.28
2017-01-01,2017-03-01,2,2,717,0.28
2017-01-01,2017-04-01,3,1,717,0.14
2017-01-01,2017-05-01,4,3,717,0.42
2017-01-01,2017-06-01,5,1,717,0.14
2017-01-01,2017-07-01,6,3,717,0.42
2017-01-01,2017-08-01,7,1,717,0.14
2017-01-01,2017-09-01,8,1,717,0.14
2017-01-01,2017-11-01,10,3,717,0.42
2017-01-01,2017-12-01,11,1,717,0.14
2017-01-01,2018-01-01,12,5,717,0.7
2017-01-01,2018-02-01,13,3,717,0.42
2017-01-01,2018-03-01,14,1,717,0.14
2017-01-01,2018-04-01,15,1,717,0.14
2017-01-01,2018-05-01,16,2,717,0.28
2017-01-01,2018-06-01,17,3,717,0.42
2017-01-01,2018-08-01,19,1,717,0.14
2017-02-01,2017-02-01,0,1628,1628,100.0
2017-02-01,2017-03-01,1,3,1628,0.18
2017-02-01,2017-04-01,2,5,1628,0.31
2017-02-01,2017-05-01,3,2,1628,0.12
2017-02-01,2017-06-01,4,7,1628,0.43
2017-02-01,2017-07-01,5,2,1628,0.12
2017-02-01,2017-08-01,6,4,1628,0.25
2017-02-01,2017-09-01,7,3,1628,0.18
2017-02-01,2017-10-01,8,2,1628,0.12
2017-02-01,2017-11-01,9,3,1628,0.18
2017-02-01,2017-12-01,10,2,1628,0.12
2017-02-01,2018-01-01,11,5,1628,0.31
2017-02-01,2018-02-01,12,2,1628,0.12
